sender,sender_type,sender_id,timestamp,correct,correctResponse,deviation,disp_x,disp_y,duration,ended_on,graphFlag,img,item1,item2,item3,item4,item5,item6,item7,max,max_index,response,response_action,size,time_commit,time_end,time_render,time_run,time_show,time_switch
Stimulus + Response,canvas.Screen,1_0_1,2021-06-03T01:54:03.450Z,false,2,15,-63,12,1755.482000000491,response,0,number-5-ld-5.png,47,75,61,54,68,0,0,75,2,5,click @5,5,40167.51000000113,40163.21500000049,38391.05,38392.620000000534,38407.733,40176.131
,flow.Sequence,1_0,2021-06-03T01:54:03.451Z,,,15,,,3155.0370000004914,completion,0,number-5-ld-5.png,47,75,61,54,68,0,0,75,2,,,5,40168.595000001005,40163.21500000049,36991.495,37002.07000000046,37008.178,40176.131
Stimulus + Response,canvas.Screen,1_1_1,2021-06-03T01:54:05.195Z,true,4,15,-40,-41,915.6320000011183,response,1,graph-5-ld-3.png,37,28,43,58,50,0,0,58,4,4,click @4,5,41912.73999999976,41909.23000000112,40976.915,40992.49500000042,40993.598,41927.846
,flow.Sequence,1_1,2021-06-03T01:54:05.196Z,,,15,,,1733.0990000011152,completion,1,graph-5-ld-3.png,37,28,43,58,50,0,0,58,4,,,5,41913.52999999981,41909.23000000112,40159.448,40168.85000000002,40176.131,41927.846
Stimulus + Response,canvas.Screen,1_2_1,2021-06-03T01:54:07.078Z,true,3,5,-48,-64,880.1369999996678,response,1,graph-5-sd-2.png,24,26,31,21,28,0,0,31,3,3,click @3,5,43795.79999999987,43792.279999999664,42895.46,42906.175000000076,42912.143,43813.025
,flow.Sequence,1_2,2021-06-03T01:54:07.078Z,,,5,,,1864.4339999996664,completion,1,graph-5-sd-2.png,24,26,31,21,28,0,0,31,3,,,5,43796.299999999974,43792.279999999664,41911.163,41914.020000000164,41927.846,43813.025
Stimulus + Response,canvas.Screen,1_3_1,2021-06-03T01:54:10.701Z,true,1,5,-99,49,2602.0750000008775,response,0,number-5-sd-5.png,70,63,67,65,60,0,0,70,1,1,click @1,5,47419.48500000035,47416.080000000875,44797.322,44812.965000000986,44814.005,47433.236
,flow.Sequence,1_3,2021-06-03T01:54:10.702Z,,,5,,,3603.0550000008734,completion,0,number-5-sd-5.png,70,63,67,65,60,0,0,70,1,,,5,47420.1350000003,47416.080000000875,43796.342,43796.715000000404,43813.025,47433.236
Stimulus + Response,canvas.Screen,1_4_1,2021-06-03T01:54:12.898Z,true,5,5,-78,56,1146.2130000011166,response,1,graph-7-sd-2.png,55,48,52,57,59,50,53,59,5,5,click @5,7,49616.03000000105,49613.79500000112,48450.899,48462.24000000075,48467.582,49623.613
,flow.Sequence,1_4,2021-06-03T01:54:12.898Z,,,5,,,2180.5590000011216,completion,1,graph-7-sd-2.png,55,48,52,57,59,50,53,59,5,,,7,49616.33500000062,49613.79500000112,47416.553,47420.41000000063,47433.236,49623.613
Stimulus + Response,canvas.Screen,1_5_1,2021-06-03T01:54:17.316Z,false,4,5,62,85,3422.7099999995407,response,0,number-7-sd-5.png,21,16,19,24,18,15,12,24,4,1,click @1,7,54034.04500000033,54030.619999999544,50591.227,50600.570000000516,50607.91,54044.608
,flow.Sequence,1_5,2021-06-03T01:54:17.316Z,,,5,,,4407.006999999547,completion,0,number-7-sd-5.png,21,16,19,24,18,15,12,24,4,,,7,54034.654999999475,54030.619999999544,49606.93,49616.49000000034,49623.613,54044.608
Stimulus + Response,canvas.Screen,1_6_1,2021-06-03T01:54:20.511Z,true,5,15,-68,28,2247.154000000315,response,0,number-5-ld-1.png,27,40,19,33,48,0,0,48,5,5,click @5,5,57229.6750000005,57226.010000000315,54962.173,54970.46000000046,54978.856,57247.744
,flow.Sequence,1_6,2021-06-03T01:54:20.512Z,,,15,,,3181.4020000003147,completion,0,number-5-ld-1.png,27,40,19,33,48,0,0,48,5,,,5,57230.30000000108,57226.010000000315,54027.925,54034.91500000018,54044.608,57247.744
Stimulus + Response,canvas.Screen,1_7_1,2021-06-03T01:54:23.870Z,true,1,15,89,64,2353.0390000007465,response,0,number-5-ld-4.png,44,36,15,30,24,0,0,44,1,1,click @1,5,60588.56999999989,60585.080000000744,58215.358,58216.25500000118,58232.041,60601.027
